UNIQUE_KEY,DATABASE,SCHEMA,TABLE_NAME,COLUMN_NAME,COLUMN_DESCRIPTION,RESOURCE_TYPE,NAME,SQL,REFERENCE,UPSTREAM_TABLE,UPSTREAM_COLUMN,REASONING
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.CUSTOMER_ID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,CUSTOMER_ID,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",stg_customers,stg_customers.CUSTOMER_ID,"The CUSTOMER_ID is directly selected from the stg_customers table without any transformation, representing a one-to-one mapping."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.CUSTOMER_NAME,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,CUSTOMER_NAME,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",stg_customers,stg_customers.CUSTOMER_NAME,"The CUSTOMER_NAME column is directly selected from the customers table which references stg_customers, indicating a one-to-one mapping with no transformation."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.COUNT_LIFETIME_ORDERS,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,COUNT_LIFETIME_ORDERS,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",orders,orders.order_id,"The COUNT_LIFETIME_ORDERS is derived from counting distinct order IDs from the orders table, indicating a transformation from multiple order records to a single count value."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.FIRST_ORDERED_AT,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,FIRST_ORDERED_AT,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",orders,orders.ORDERED_AT,"The column FIRST_ORDERED_AT is calculated as the minimum of orders.ORDERED_AT in the customer_orders_summary CTE, indicating it is derived from the orders table."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.LAST_ORDERED_AT,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,LAST_ORDERED_AT,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",orders,orders.ORDERED_AT,The column LAST_ORDERED_AT is derived from the aggregation of the ORDERED_AT column using the MAX function to determine the most recent order date for each customer.
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.LIFETIME_SPEND_PRETAX,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,LIFETIME_SPEND_PRETAX,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",orders,orders.SUBTOTAL,"The column LIFETIME_SPEND_PRETAX is calculated as the sum of the orders' subtotal, indicating it is derived directly from the orders table without any transformation beyond aggregation."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.LIFETIME_TAX_PAID,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,LIFETIME_TAX_PAID,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",orders,orders.TAX_PAID,"The column LIFETIME_TAX_PAID is derived by summing the orders.TAX_PAID, indicating it is an aggregation of tax paid across all orders for a customer."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.LIFETIME_SPEND,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,LIFETIME_SPEND,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",orders,"orders.ORDER_TOTAL, orders.SUBTOTAL, orders.TAX_PAID","The column LIFETIME_SPEND is derived from aggregating the order totals, specifically summing the subtotal and tax paid, indicating a transformation that combines multiple columns into a single metric."
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.customers.CUSTOMER_TYPE,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.customers,CUSTOMER_TYPE,,model,customers,"with

customers as (

    select * from {{ ref('stg_customers') }}

),

orders as (

    select * from {{ ref('orders') }}

),

customer_orders_summary as (

    select
        orders.customer_id,

        count(distinct orders.order_id) as count_lifetime_orders,
        count(distinct orders.order_id) > 1 as is_repeat_buyer,
        min(orders.ordered_at) as first_ordered_at,
        max(orders.ordered_at) as last_ordered_at,
        sum(orders.subtotal) as lifetime_spend_pretax,
        sum(orders.tax_paid) as lifetime_tax_paid,
        sum(orders.order_total) as lifetime_spend

    from orders

    group by 1

),

joined as (

    select
        customers.*,

        customer_orders_summary.count_lifetime_orders,
        customer_orders_summary.first_ordered_at,
        customer_orders_summary.last_ordered_at,
        customer_orders_summary.lifetime_spend_pretax,
        customer_orders_summary.lifetime_tax_paid,
        customer_orders_summary.lifetime_spend,

        case
            when customer_orders_summary.is_repeat_buyer then 'returning'
            else 'new'
        end as customer_type

    from customers

    left join customer_orders_summary
        on customers.customer_id = customer_orders_summary.customer_id

)

select * from joined","stg_customers.CUSTOMER_ID: , stg_customers.CUSTOMER_NAME: , orders.ORDER_ID: , orders.LOCATION_ID: , orders.CUSTOMER_ID: , orders.SUBTOTAL_CENTS: , orders.TAX_PAID_CENTS: , orders.ORDER_TOTAL_CENTS: , orders.SUBTOTAL: , orders.TAX_PAID: , orders.ORDER_TOTAL: , orders.ORDERED_AT: , orders.ORDER_COST: , orders.ORDER_ITEMS_SUBTOTAL: , orders.COUNT_FOOD_ITEMS: , orders.COUNT_DRINK_ITEMS: , orders.COUNT_ORDER_ITEMS: , orders.IS_FOOD_ORDER: , orders.IS_DRINK_ORDER: , orders.CUSTOMER_ORDER_NUMBER: ",,,
JAFFLE_SHOP.DBT_JMARWAHA.model.jaffle_shop.metricflow_time_spine.DATE_DAY,JAFFLE_SHOP,DBT_JMARWAHA,model.jaffle_shop.metricflow_time_spine,DATE_DAY,,model,metricflow_time_spine,"-- metricflow_time_spine.sql
with

days as (

    --for BQ adapters use ""DATE('01/01/2000','mm/dd/yyyy')""
    {{ dbt_date.get_base_dates(n_dateparts=365*10, datepart=""day"") }}

),

cast_to_date as (

    select cast(date_day as date) as date_day

    from days

)

select * from cast_to_date",,days,date_day,"The column `date_day` is sourced directly from the CTE `days` and is cast to a date type without any additional transformations, indicating a one-to-one mapping."
